a  /ah /a
bone  /b ow en /b o ne  
bones  /b ow en z /b o ne s
bonfire  /b ao en f ay er /b o n f i re  
bongos  /b ao ng g ow z /b o n g o s
book  /b uh k /b oo k
books  /b uh k s /b oo k s
boom  /b uw m /b oo m
boomerang  /b uw m er ae ng /b oo m er a ng
boost  /b uw s t /b oo s t
bootleggers  /b uw t el eh g er z /b oo t l e gg er s
boots  /b uw t s /b oo t s
bored  /b ao r d /b o r ed
boring  /b ao r ih ng /b o r i ng
born  /b ao r en /b o r n
borrow  /b ao r ow /b o rr ow  
boss  /b ao s /b o ss
boston  /b ao s t en /b o s t on
both  /b ow th /b o th
bother  /b ao dh er /b o th er
bothers  /b ao dh er z /b o th er s
bottle  /b ao t el /b o tt le  
bottom  /b ao t m /b o tto m
bottomed  /b ao t m d /b o tto m ed
bought  /b ao t /b ough t
bounce  /b aw en s /b ou n ce  
bounded  /b aw en d ih d /b ou n d e d
bounds  /b aw en d z /b ou n d s
bowl  /b ow el /b ow l
box  /b ao k s /b o * x
boy  /b oy /b oy
boy's  /b oy z /b oy' s
boys  /b oy z /b oy s
bracelet  /b r ey s el ih t /b r a c el e t
braiding  /b r ey d ih ng /b r ai d i ng
brain  /b r ey en /b r ai n
brakes  /b r ey k s /b r a ke s
branch  /b r ae en ch /b r a n ch
brand  /b r ae en d /b r a n d
brave  /b r ey v /b r a ve  
bread  /b r eh d /b r ea d
break  /b r ey k /b r ea k
breakdown  /b r ey k d aw en /b r ea k d ow n
breakfast  /b r eh k f ih s t /b r ea k f a s t
breaking  /b r ey k ih ng /b r ea k i ng
breast  /b r eh s t /b r ea s t
breath  /b r eh th /b r ea th
breathed  /b r iy dh d /b r ea th ed
breathlessly  /b r eh th el ah s el iy /b r ea th l e ss l y
breed  /b r iy d /b r ee d
breeze  /b r iy z /b r ee ze  
brick  /b r ih k /b r i ck
bricks  /b r ih k s /b r i ck s
bridal  /b r ay d el /b r i d al
bride  /b r ay d /b r i de  
bride's  /b r ay d z /b r i de' s
bridge  /b r ih jh /b r i dge  
bridges  /b r ih jh ih z /b r i dg e s
brief  /b r iy f /b r ie f
briefly  /b r iy f el iy /b r ie f l y
bright  /b r ay t /b r igh t
brighter  /b r ay t er /b r igh t er
brightly  /b r ay t el iy /b r igh t l y
brim  /b r ih m /b r i m
bring  /b r ih ng /b r i ng
brings  /b r ih ng z /b r i ng s
bristles  /b r ih s el z /b r i st le s
broccoli  /b r ao k ah el iy /b r o cc o l i
brochure  /b r ow sh uh r /b r o ch u re  
broil  /b r oy el /b r oi l
broke  /b r ow k /b r o ke  
broken  /b r ow k ih en /b r o k e n
bronc  /b r ao ng k /b r o n c
brother  /b r ah dh er /b r o th er
brother's  /b r ah dh er z /b r o th er' s
brought  /b r ao t /b r ough t
brown  /b r aw en /b r ow n
brows  /b r aw z /b r ow s
bruises  /b r uw z ih z /b r ui s e s
brush  /b r ah sh /b r u sh
brushy  /b r ah sh iy /b r u sh y
bubbles  /b ah b el z /b u bb le s
buckle  /b ah k el /b u ck le  
buddies  /b ah d iy z /b u dd ie s
buddy  /b ah d iy /b u dd y
buff  /b ah f /b u ff
buffalo  /b ah f ah el ow /b u ff a l o
bugeyed  /b ah g ay d /b u ge y ed
bugged  /b ah g d /b u gg ed
bugle  /b y uw g el /b * u g le  
build  /b ih el d /b ui l d
builders  /b ih el d er z /b ui l d er s
building  /b ih el d ih ng /b ui l d i ng
buildings  /b ih el d ih ng z /b ui l d i ng s
built  /b ih el t /b ui l t
bulged  /b ah el jh d /b u l g ed
bull  /b uh el /b u ll
bull-like  /b uh el el ay k /b u l l-l i ke  
bullet  /b uh el ih t /b u ll e t
bullets  /b uh el ih t s /b u ll e t s
bum  /b ah m /b u m
bump  /b ah m p /b u m p
bungalow  /b ah ng g ah el ow /b u n g a l ow  
bunks  /b ah ng k s /b u n k s
buns  /b ah en z /b u n s
bureaucracy  /b y er ao k r ih s iy /b u re au c r a c y
burglar  /b er g el er /b ur g l ar
burn  /b er en /b ur n
burned  /b er en d /b ur n ed
burner  /b er en er /b ur n er
burning  /b er en ih ng /b ur n i ng
burst  /b er s t /b ur s t
bursting  /b er s t ih ng /b ur s t i ng
bury  /b eh r iy /b u r y
bus  /b ah s /b u s
bushel  /b uh sh el /b u sh el
business  /b ih z en ih s /b u si n e ss
busy  /b ih z iy /b u s y
but  /b ah t /b u t
butcher  /b uh ch er /b u tch er
butter  /b ah t er /b u tt er
butterfly  /b ah t er f el ay /b u tt er f l y
butterscotch  /b ah t er s k ao ch /b u tt er s c o tch  
buttonholes  /b ah t en hh ow el z /b u tt on h o le s
buttons  /b ah t en z /b u tt on s
buy  /b ay /bu y
buyer  /b ay er /bu y er
buying  /b ay ih ng /bu y i ng
buys  /b ay z /bu y s
buzz  /b ah z /b u zz
buzzing  /b ah z ih ng /b u zz i ng
by  /b ay /b y
cab  /k ae b /c a b
cabinets  /k ae b ih en ih t s /c a b i n e t s
cable  /k ey b el /c a b le  
cafe  /k ae f ey /c a f e
cafeteria  /k ae f ah t ih r iy ah /c a f e t e r i a
cage  /k ey jh /c a ge  
calcium  /k ae el s iy ah m /c a l c i u m
calendar  /k ae el ih en d er /c a l e n d ar
calendars  /k ae el ih en d er z /c a l e n d ar s
calf  /k ae f /c al f
calico  /k ae el ih k ow /c a l i c o
call  /k ao el /c a ll
called  /k ao el d /c a ll ed
calling  /k ao el ih ng /c a ll i ng
calls  /k ao el z /c a ll s
calm  /k ao m /c al m
came  /k ey m /c a me  
cameo  /k ae m iy ow /c a m e o
camera  /k ae m er ah /c a m er a
camp  /k ae m p /c a m p
camping  /k ae m p ih ng /c a m p i ng
campus  /k ae m p ah s /c a m p u s
can  /k ae en /c a n
can't  /k ae en t /c a n' t
candies  /k ae en d iy z /c a n d ie s
candles  /k ae en d el z /c a n d le s
candy  /k ae en d iy /c a n d y
canister  /k ae en ih s t er /c a n i s t er
canned  /k ae en d /c a nn ed
cannot  /k ae en ao t /c a nn o t
canoes  /k ah en uw z /c a n oe s
cantaloupe  /k ae en t ah el ow p /c a n t a l ou pe  
canteen  /k ae en t iy en /c a n t ee n
canter  /k ae en t er /c a n t er
cap'n  /k ae p en /c a p' n
capable  /k ey p ah b el /c a p a b le  
capillary  /k ae p ah el eh r iy /c a p i ll a r y
capital  /k ae p ih t el /c a p i t al
capitalists  /k ae p ih t el ih s t s /c a p i t al i s t s
capitalize  /k ae p ah t ah el ay z /c a p i t a l i ze  
capsule  /k ae p s el /c a p su le  
captain  /k ae p t ih en /c a p t ai n
captured  /k ae p ch er d /c a p t ur ed
car  /k ao r /c a r
car's  /k ao r z /c a r' s
caraway  /k ae r ah w ey /c a r a w ay
cardboard  /k ao r d b ao r d /c a r d b oa r d
cards  /k ao r d z /c a r d s
care  /k ae r /c a re  
carefree  /k ae r f r iy /c a re f r ee
careful  /k ae r f el /c a re fu l
carefully  /k ae r f uh el iy /c a re f u ll y
carl  /k ao r el /c a r l
carol  /k ae r el /c a ro l
carpenter  /k ao r p ah en t er /c a r p e n t er
carpet  /k ao r p ah t /c a r p e t
carriage  /k ae r ih jh /c a rr ia ge  
carried  /k ae r iy d /c a rr i ed
carries  /k ae r iy z /c a rr ie s
carry  /k ae r iy /c a rr y
carrying  /k ae r iy ih ng /c a rr y i ng
cars  /k ao r z /c a r s
cart  /k ao r t /c a r t
cartilage  /k ao r t el ih jh /c a r ti l a ge  
cartoon  /k ao r t uw en /c a r t oo n
cartoons  /k ao r t uw en z /c a r t oo n s
carved  /k ao r v d /c a r v ed
case  /k ey s /c a se  
cases  /k ey s ih z /c a s e s
cash  /k ae sh /c a sh
cashmere  /k ae sh m ih r /c a sh m e re  
cassandra  /k ah s ae en d r ah /c a ss a n d r a
cast  /k ae s t /c a s t
castor  /k ae s t er /c a s t or
castorbeans  /k ae s er b iy en z /c a st or b ea n s
casual  /k ae sh uw el /c a s u al
casually  /k ae sh uw ah el iy /c a s u a ll y
cat  /k ae t /c a t
cat's  /k ae t s /c a t' s
catastrophic  /k ae t ih s t r ao f ih k /c a t a s t r o ph i c
catch  /k ae ch /c a tch  
categories  /k ae t ah g ao r iy z /c a t e g o r ie s
catkins  /k ae t k ih en z /c a t k i n s
cats  /k ae t s /c a t s
cattle  /k ae t el /c a tt le  
caught  /k ao t /c augh t
cauliflower  /k ao el ih f el aw er /c au l i f l ow er
caused  /k ao z d /c au s ed
causes  /k ao z ih z /c au s e s
causeway  /k ao z w ey /c au se w ay
caution  /k ao sh ih en /c au * * tion
cavity  /k ae v ah t iy /c a v i t y
cease  /s iy s /c ea se  
cease-fire  /s iy s f ay er /c ea se- f i re  
ceiling  /s iy el ih ng /c ei l i ng
celebrate  /s eh el ih b r ey t /c e l e b r a te  
celebrates  /s eh el ih b r ey t s /c e l e b r a te s
cellophane  /s eh el ah f ey en /c e ll o ph a ne  
cells  /s eh el z /c e ll s
cement  /s ih m eh en t /c e m e n t
censorship  /s eh en s er sh ih p /c e n s or sh i p
census  /s eh en s ih s /c e n s u s
cent  /s eh en t /c e n t
centered  /s eh en t er d /c e n t er ed
centering  /s eh en t er ih ng /c e n t er i ng
central  /s eh en t r el /c e n t r al
centre  /s eh en t er /c e n t re  
centrifuge  /s eh en t r ah f y uw jh /c e n t r i f * u ge  
cents  /s eh en t s /c e n t s
centuries  /s eh en ch er iy z /c e n t ur ie s
century  /s eh en ch er iy /c e n t ur y
ceramic  /s er ae m ih k /c er a m i c
cereal  /s ih r iy el /c e r e al
cerebral  /s er iy b r ah el /c er e b r a l
certain  /s er t en /c er tai n
certainly  /s er t en el iy /c er tai n l y
chablis  /sh ae b el iy /ch a b l is  
chain  /ch ey en /ch ai n
chair  /ch ae r /ch ai r
chairs  /ch ae r z /ch ai r s
challenge  /ch ae el ih en jh /ch a ll e n ge  
challenged  /ch ae el ih en jh d /ch a ll e n g ed
chamber  /ch ey m b er /ch a m b er
chance  /ch ae en s /ch a n ce  
change  /ch ey en jh /ch a n ge  
changed  /ch ey en jh d /ch a n g ed
changes  /ch ey en jh ih z /ch a n g e s
changing  /ch ey en jh ih ng /ch a n g i ng
chaos  /k ey ao s /ch a o s
character  /k ae r ah k t er /ch a r a c t er
characteristics  /k ae r ah k t er ih s t ih k s /ch a r a c t er i s t i c s
characters  /k ae r ah k t er z /ch a r a c t er s
charge  /ch ao r jh /ch a r ge  
charged  /ch ao r jh d /ch a r g ed
charlie's  /ch ao r el iy z /ch a r l ie' s
charm  /ch ao r m /ch a r m
charmer  /ch ao r m er /ch a r m er
chart  /ch ao r t /ch a r t
chases  /ch ey s ih z /ch a s e s
chasing  /ch ey s ih ng /ch a s i ng
chastity  /ch ae s t ih t iy /ch a s t i t y
chattering  /ch ae t er ih ng /ch a tt er i ng
chauffeur  /sh ow f er /ch au ff eur
chauffeur-driven  /sh ow f er d r ih v en /ch au ff eur- d r i v en
chaw  /ch ao /ch aw  
cheap  /ch iy p /ch ea p
cheating  /ch iy t ih ng /ch ea t i ng
check  /ch eh k /ch e ck
checked  /ch eh k t /ch e ck ed
cheek  /ch iy k /ch ee k
cheese  /ch iy z /ch ee se  
cheetal  /ch iy t el /ch ee t al
chemical  /k eh m ih k el /ch e m i c al
chemicals  /k eh m ih k el z /ch e m i c al s
chest  /ch eh s t /ch e s t
chestnuts  /ch eh s en ah t s /ch e st n u t s
chests  /ch eh s t s /ch e s t s
chew  /ch uw /ch ew
chicken  /ch ih k ih en /ch i ck e n
chief  /ch iy f /ch ie f
chiefly  /ch iy f el iy /ch ie f l y
child  /ch ay el d /ch i l d
childhood  /ch ay el d hh uh d /ch i l d h oo d
children  /ch ih el d r ah en /ch i l d r e n
chilled  /ch ih el d /ch i ll ed
chills  /ch ih el z /ch i ll s
chip  /ch ih p /ch i p
chipper  /ch ih p er /ch i pp er
chives  /ch ay v z /ch i ve s
chloride  /k el ao r ay d /ch l o r i de  
chlorine  /k el ao r iy en /ch l o r i ne  
chocolate  /ch ao k el ih t /ch o co l a te  
choices  /ch oy s ih z /ch oi c e s
choir  /k w ay er /ch o i r
choke  /ch ow k /ch o ke  
choose  /ch uw z /ch oo se  
choosing  /ch uw z ih ng /ch oo s i ng
chop  /ch ao p /ch o p
chopped  /ch ao p t /ch o pp ed
choreographer  /k ao r iy ao g r ah f er /ch o r e o g r a ph er
chortled  /ch ao r t el d /ch o r t l ed
chorused  /k ao r ih s t /ch o r u s ed
chose  /ch ow z /ch o se  
chosen  /ch ow z en /ch o s en
chrome  /k r ow m /ch r o me  
chroniclers  /k r ao en ih k el er z /ch r o n i c l er s
chronological  /k r ao en ah el ao jh ih k el /ch r o n o l o g i c al
chronologically  /k r ao en ah el ao jh ih k ah el iy /ch r o n o l o g i c a ll y
chuck  /ch ah k /ch u ck
chuckled  /ch ah k el d /ch u ck l ed
church  /ch er ch /ch ur ch
cigar  /s ih g ao r /c i g a r
cigarette  /s ih g er eh t /c i g ar e tte  
cigarettes  /s ih g er eh t s /c i g ar e tte s
cinch  /s ih en ch /c i n ch
cinematic  /s ih en ah m ae t ih k /c i n e m a t i c
circle  /s er k el /c ir c le  
circled  /s er k el d /c ir c l ed
circumstances  /s er k ah m s t ae en s ih z /c ir c u m s t a n c e s
citizen  /s ih t ih z ih en /c i t i z e n
citizenship  /s ih t ih z ih en sh ih p /c i t i z e n sh i p
city  /s ih t iy /c i t y
civil  /s ih v el /c i vi l
civilian  /s ah v ih el y ah en /c i v i l i a n
civilization  /s ih v el ah z ey sh ih en /c i vi l i z a * * tion
civilized  /s ih v el ay z d /c i vi l i z ed
claimed  /k el ey m d /c l ai m ed
clamp  /k el ae m p /c l a m p
clams  /k el ae m z /c l a m s
clamshell  /k el ae m sh eh el /c l a m sh e ll
clapping  /k el ae p ih ng /c l a pp i ng
clarification  /k el ae r ah f ah k ey sh ih en /c l a r i f i c a * * tion
clarified  /k el ae r ah f ay d /c l a r i f i ed
clarify  /k el ae r ah f ay /c l a r i f y
clashed  /k el ae sh t /c l a sh ed
clasp  /k el ae s p /c l a s p
clasped  /k el ae s p t /c l a s p ed
class  /k el ae s /c l a ss
class-biased  /k el ae s b ay ih s t /c l a ss- b i a s ed
classical  /k el ae s ih k el /c l a ss i c al
classrooms  /k el ae s r uw m z /c l a ss r oo m s
clatter  /k el ae t er /c l a tt er
clause  /k el ao z /c l au se  
clay  /k el ey /c l ay
clean  /k el iy en /c l ea n
cleaned  /k el iy en d /c l ea n ed
cleaning  /k el iy en ih ng /c l ea n i ng
cleans  /k el iy en z /c l ea n s
clear  /k el ih r /c l ea r
cleared  /k el ih r d /c l ea r ed
clearer  /k el ih r er /c l ea r er
clearing  /k el ih r ih ng /c l ea r i ng
clearly  /k el ih r el iy /c l ea r l y
clerk's  /k el er k s /c l er k' s
clerks  /k el er k s /c l er k s
clever  /k el eh v er /c l e v er
cliff  /k el ih f /c l i ff
cliff's  /k el ih f s /c l i ff' s
climates  /k el ay m ah t s /c l i m a te s
climax  /k el ay m ae k s /c l i m a * x
climbed  /k el ay m d /c l i mb ed
climbing  /k el ay m ih ng /c l i mb i ng
clinches  /k el ih en ch ih z /c l i n ch e s
cling  /k el ih ng /c l i ng
clockwork  /k el ao k w er k /c l o ck w or k
closer  /k el ow s er /c l o s er
closet  /k el ao z ih t /c l o s e t
close~adj  /k el ow s /c l o se
close~v  /k el ow z /c l o se
closing  /k el ow z ih ng /c l o s i ng
clot  /k el ao t /c l o t
cloth  /k el ao th /c l o th
clothes  /k el ow dh z /c l o the s
clotheshorse  /k el ow dh z hh ao r s /c l o the s h o r se  
clothing  /k el ow dh ih ng /c l o th i ng
clotted  /k el ao t ih d /c l o tt e d
cloud  /k el aw d /c l ou d
cloudburst  /k el aw d b er s t /c l ou d b ur s t
clouds  /k el aw d z /c l ou d s
club  /k el ah b /c l u b
clumsy  /k el ah m z iy /c l u m s y
coach  /k ow ch /c oa ch
coagulating  /k ow ae g y uh el ey t ih ng /c o a g * u l a t i ng
coal  /k ow el /c o al
coal-black  /k ow el b el ae k /c o al- b l a ck
coalition  /k ow ah el ih sh ih en /c o a l i * * tion
coals  /k ow el z /c o al s
coast  /k ow s t /c oa s t
coat  /k ow t /c oa t
coauthors  /k ow ao th er z /c o au th or s
cobbler's  /k ao b el er z /c o bb l er' s
coconut  /k ow k ah en ah t /c o c o n u t
coconuts  /k ow k ah en ah t s /c o c o n u t s
code  /k ow d /c o de  
codes  /k ow d z /c o de s
coeducational  /k ow eh jh ih k ey sh ih en el /c o e d u c a * * tion al
coexist  /k ow ih g z ih s t /c o e * x i s t
coffee  /k ao f iy /c o ff ee
coffers  /k ao f er z /c o ff er s
coil  /k oy el /c oi l
coin  /k oy en /c oi n
coincided  /k ow ih en s ay d ih d /c o i n c i d e d
coins  /k oy en z /c oi n s
coke  /k ow k /c o ke  
cold  /k ow el d /c o l d
cold-blooded  /k ow el d b el ah d ih d /c o l d- b l oo d e d
coleslaw  /k ow el s el ao /c o le s l aw  
collared  /k ao el er d /c o ll ar ed
colleagues  /k ao el iy g z /c o ll ea gue s
collection  /k ah el eh k sh ih en /c o ll e c * * tion
collects  /k ah el eh k t s /c o ll e c t s
colleges  /k ao el ih jh z /c o ll e ge s
collie  /k ao el iy /c o ll ie  
collusion  /k ah el uw sh ih en /c o ll u si o n
color  /k ah el er /c o l or
colored  /k ah el er d /c o l or ed
colorful  /k ah el er f el /c o l or fu l
colossal  /k ah el ao s el /c o l o ss al
column  /k ao el m /c o lu mn  
combine  /k ah m b ay en /c o m b i ne  
combustion  /k ah m b ah s ch en /c o m b u s ti on
come  /k ah m /c o me  
comes  /k ah m z /c o me s
coming  /k ah m ih ng /c o m i ng
command  /k ah m ae en d /c o mm a n d
comment  /k ao m eh en t /c o mm e n t
commercial  /k ah m er sh el /c o mm er ci al
common  /k ao m ah en /c o mm o n
commonplace  /k ao m ah en p el ey s /c o mm o n p l a ce  
communism  /k ao m y uw en ih z m /c o mm * u n i s m
community  /k ah m y uw en ih t iy /c o mm * u n i t y
compact  /k ao m p ae k t /c o m p a c t
companions  /k ah m p ae en y ih en z /c o m p a n i o n s
company  /k ah m p ah en iy /c o m p a n y
company's  /k ah m p ah en iy z /c o m p a n y' s
comparable  /k ao m p er ah b el /c o m p ar a b le  
compare  /k ah m p ae r /c o m p a re  
comparison  /k ah m p ae r ih s ih en /c o m p a r i s o n
compensation  /k ao m p ah en s ey sh ih en /c o m p e n s a * * tion
competently  /k ao m p ah t ih en t el iy /c o m p e t e n t l y
competing  /k ah m p iy t ih ng /c o m p e t i ng
competition  /k ao m p ah t ih sh ih en /c o m p e t i * * tion
competitive  /k ah m p eh t ih t ih v /c o m p e t i t i ve  
competitors  /k ah m p eh t ih t er z /c o m p e t i t or s
compile  /k ah m p ay el /c o m p i le  
complete  /k ah m p el iy t /c o m p l e te  
completely  /k ah m p el iy t el iy /c o m p l e t el y
complex  /k ah m p el eh k s /c o m p l e * x
complexity  /k ah m p el eh k s ih t iy /c o m p l e * x i t y
compliance  /k ah m p el ay ih en s /c o m p l i a n ce  
complicated  /k ao m p el ah k ey t ih d /c o m p l i c a t e d
complicity  /k ah m p el ih s ih t iy /c o m p l i c i t y
compose  /k ah m p ow z /c o m p o se  
composition  /k ao m p ah z ih sh ih en /c o m p o s i * * tion
compositions  /k ao m p ah z ih sh ih en z /c o m p o s i * * tion s
compost  /k ao m p ow s t /c o m p o s t
composure  /k ah m p ow sh er /c o m p o s ure  
compound  /k ao m p aw en d /c o m p ou n d
compounded  /k ao m p aw en d ih d /c o m p ou n d e d
compounds  /k ao m p aw en d z /c o m p ou n d s
compresses  /k ao m p r eh s ih z /c o m p r e ss e s
compulsion  /k ah m p ah el sh ih en /c o m p u l si o n
compulsory  /k ah m p ah el s er iy /c o m p u l s or y
computer  /k ah m p y uw t er /c o m p * u t er
computers  /k ah m p y uw t er z /c o m p * u t er s
comrades  /k ao m r ae d z /c o m r a de s
conceivably  /k ah en s iy v ah b el iy /c o n c ei v a b l y
conceived  /k ah en s iy v d /c o n c ei v ed
concept  /k ao en s eh p t /c o n c e p t
concern  /k ah en s er en /c o n c er n
concerns  /k ah en s er en z /c o n c er n s
concert  /k ao en s er t /c o n c er t
concessionaire  /k ah en s eh sh ih en ae r /c o n c e ss i on ai re  
conclusion  /k ah en k el uw sh ih en /c o n c l u si o n
conclusions  /k ah en k el uw sh ih en z /c o n c l u si o n s
concrete  /k ao en k r iy t /c o n c r e te  
concurrent  /k ah en k er ah en t /c o n c urr e n t
condemns  /k ah en d eh m z /c o n d e mn s
condition  /k ah en d ih sh ih en /c o n d i * * tion
conditions  /k ah en d ih sh ih en z /c o n d i * * tion s
confabulation  /k ah en f ae b y uh el ey sh ih en /c o n f a b * u l a * * tion
